1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	2.769464	0.000000	0.149779	1.978561	240.2
1	2.235732	0.000000	0.149779	1.879792	49.0
2	1.709489	0.000000	0.149779	1.807993	49.7
3	1.320379	0.000000	0.149779	1.215834	48.6
4	1.242128	0.000000	0.149779	1.111446	48.7
5	1.249682	1.000000	0.142970	1.359095	48.6
6	1.265403	2.000000	0.136754	1.559717	53.2
7	1.273058	3.000000	0.131056	1.722875	49.3
8	1.283877	4.000000	0.125814	1.633114	47.7
9	1.238779	5.000000	0.120975	1.428169	48.4
10	1.234806	6.000000	0.116494	1.271396	49.8
11	1.206911	7.000000	0.112334	1.016874	50.8
12	1.198640	8.000000	0.108460	0.848912	52.1
13	1.187789	9.000000	0.104845	0.695574	48.5
14	1.185082	10.000000	0.101463	0.567186	51.1
15	1.179002	11.000000	0.098292	0.400552	47.8
16	1.177080	12.000000	0.095314	0.303649	50.3
17	1.175725	13.000000	0.092510	0.217587	50.2
18	1.175019	14.000000	0.089867	0.152370	53.8
19	1.174675	15.000000	0.087371	0.093070	58.8
20	1.174466	16.000000	0.085009	0.052851	54.3
21	1.174408	17.000000	0.082772	0.026489	52.7
22	1.174377	18.000000	0.080650	0.015983	51.1
23	1.174368	19.000000	0.078634	0.008081	50.5
24	1.174367	20.000000	0.076716	0.006832	50.3
25	1.174362	19.990000	0.076735	0.012775	49.9
26	1.174365	20.990000	0.074907	0.007752	48.5
27	1.174360	21.990000	0.073165	0.007016	49.3
28	1.174360	21.980000	0.073182	0.012654	49.6
29	1.174361	22.980000	0.071518	0.009331	48.3
30	1.174358	23.980000	0.069928	0.005470	49.5
31	1.174359	23.970000	0.069943	0.020378	50.4
32	1.174365	24.970000	0.068422	0.012107	53.3
33	1.174361	25.970000	0.066965	0.006505	59.1
34	1.174358	25.960000	0.066979	0.005003	59.2
35	1.174358	25.950000	0.066994	0.014518	49.4
36	1.174361	26.950000	0.065596	0.006618	49.5
37	1.174358	27.950000	0.064256	0.005472	48.6
38	1.174357	27.940000	0.064269	0.003894	50.2
39	1.174357	28.940000	0.062983	0.003752	48.4
40	1.174357	29.940000	0.061746	0.004274	51.6
41	1.174357	30.940000	0.060557	0.005773	47.3
42	1.174358	31.940000	0.059413	0.004579	64.4
43	1.174357	32.940000	0.058312	0.001889	86.8
44	1.174357	32.930000	0.058323	0.003071	57.1
45	1.174357	33.930000	0.057261	0.004043	52.0
46	1.174357	34.930000	0.056237	0.003441	48.0
47	1.174357	35.930000	0.055249	0.001643	49.2
48	1.174357	36.930000	0.054296	0.004340	49.1
49	1.174358	37.930000	0.053374	0.013339	47.5
50	1.174360	38.930000	0.052484	0.008337	49.9
51	1.174358	39.930000	0.051622	0.003216	48.1
52	1.174357	39.920000	0.051631	0.003762	49.0
53	1.174357	39.910000	0.051639	0.006474	50.8
54	1.174358	40.910000	0.050805	0.004612	50.1
55	1.174357	41.910000	0.049998	0.001114	48.7
56	1.174357	41.900000	0.050006	0.003306	49.6
57	1.174357	42.900000	0.049223	0.004930	49.9
58	1.174358	43.900000	0.048465	0.012972	47.8
59	1.174359	44.900000	0.047729	0.007634	48.2
60	1.174357	45.900000	0.047016	0.003503	48.4
61	1.174357	45.890000	0.047023	0.002545	47.6
62	1.174357	45.880000	0.047030	0.004960	49.4
63	1.174357	46.880000	0.046337	0.004713	49.6
64	1.174357	47.880000	0.045664	0.004051	51.8
65	1.174357	48.880000	0.045011	0.004588	56.9
