1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	13.784390	0.000000	0.080559	5.362189	30.7
1	13.509019	0.000000	0.080559	4.619219	5.9
2	12.114800	0.000000	0.080559	4.430112	6.9
3	10.251836	0.000000	0.080559	6.294540	5.9
4	7.345050	0.000000	0.080559	4.925453	6.4
5	5.682241	0.000000	0.080559	3.371338	5.7
6	4.945754	0.000000	0.080559	2.076616	5.8
7	4.652080	0.000000	0.080559	1.510546	6.5
8	4.486817	0.000000	0.080559	1.249326	5.0
9	4.359617	0.000000	0.080559	1.125250	5.4
10	4.258091	0.000000	0.080559	1.062178	6.2
11	4.165730	0.000000	0.080559	1.009344	4.9
12	4.084157	0.000000	0.080559	0.981424	5.4
13	4.006540	0.000000	0.080559	0.945985	5.8
14	3.934280	0.000000	0.080559	0.922774	4.7
15	3.863929	0.000000	0.080559	0.895461	6.2
16	3.797672	0.000000	0.080559	0.873609	6.3
17	3.734396	0.000000	0.080559	0.856413	5.9
18	3.675171	0.000000	0.080559	0.831588	6.5
19	3.616956	0.000000	0.080559	0.817131	7.4
20	3.559856	0.000000	0.080559	0.797760	5.6
21	3.507358	0.000000	0.080559	0.779447	5.4
22	3.456886	0.000000	0.080559	0.768943	5.1
23	3.407672	0.000000	0.080559	0.760127	5.6
24	3.359528	0.000000	0.080559	0.746146	5.3
25	3.312659	0.000000	0.080559	0.731922	5.4
26	3.268005	0.000000	0.080559	0.724152	5.7
27	3.223553	0.000000	0.080559	0.707357	5.4
28	3.181562	0.000000	0.080559	0.696997	6.2
29	3.141200	0.000000	0.080559	0.682803	5.5
30	3.103122	0.000000	0.080559	0.669742	5.4
31	3.065004	0.000000	0.080559	0.658450	5.0
32	3.028993	0.000000	0.080559	0.644332	5.5
33	2.994398	0.000000	0.080559	0.633149	5.1
34	2.960763	0.000000	0.080559	0.624490	5.5
35	2.928208	0.000000	0.080559	0.620113	5.3
36	2.895731	0.000000	0.080559	0.611190	5.0
37	2.864320	0.000000	0.080559	0.603908	5.7
38	2.833637	0.000000	0.080559	0.592707	5.5
39	2.804078	0.000000	0.080559	0.586079	5.3
40	2.775123	0.000000	0.080559	0.574311	6.7
41	2.747381	0.000000	0.080559	0.565758	5.8
42	2.720213	0.000000	0.080559	0.564778	7.6
43	2.693738	0.000000	0.080559	0.556427	5.9
44	2.667428	0.000000	0.080559	0.552295	5.9
45	2.641827	0.000000	0.080559	0.543790	5.7
46	2.616937	0.000000	0.080559	0.537184	5.1
47	2.592817	0.000000	0.080559	0.528495	5.2
48	2.569514	0.000000	0.080559	0.526200	6.0
49	2.546225	0.000000	0.080559	0.524283	4.9
50	2.523077	0.000000	0.080559	0.516861	5.3
51	2.500628	0.000000	0.080559	0.511848	5.9
52	2.478592	0.000000	0.080559	0.504786	4.9
53	2.457100	0.000000	0.080559	0.497035	5.7
54	2.436052	0.000000	0.080559	0.497671	6.2
55	2.414237	0.000000	0.080559	0.493499	4.9
56	2.393399	0.000000	0.080559	0.491879	5.3
57	2.372985	0.000000	0.080559	0.486729	5.9
58	2.352754	0.000000	0.080559	0.484366	4.8
