1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	5.098257	0.000000	1.002768	0.429091	215.5
1	4.997191	0.000000	1.002768	0.333977	43.3
2	4.990750	1.000000	0.957188	0.392565	41.6
3	4.961927	2.000000	0.915571	0.368649	42.4
4	4.904257	1.990000	0.915969	0.254043	41.7
5	4.865002	2.990000	0.877788	0.291054	41.3
6	4.863822	2.980000	0.878154	0.273371	42.8
7	4.840645	2.970000	0.878521	0.324075	43.1
8	4.828183	3.970000	0.843338	0.303290	41.9
9	4.789905	4.970000	0.810864	0.338900	42.3
10	4.754263	5.970000	0.780799	0.233601	46.9
11	4.737279	6.970000	0.752883	0.129302	46.7
12	4.730417	7.970000	0.726895	0.168461	41.8
13	4.709402	7.960000	0.727146	0.202731	42.5
14	4.686376	7.950000	0.727397	0.137974	42.7
15	4.674100	7.940000	0.727648	0.202351	43.8
16	4.660279	7.930000	0.727900	0.191090	42.5
17	4.634776	7.920000	0.728151	0.154861	42.5
18	4.633673	7.910000	0.728403	0.103732	40.8
19	4.631606	7.900000	0.728655	0.120608	41.8
20	4.628455	8.900000	0.704286	0.082994	42.9
21	4.623772	9.900000	0.681493	0.080963	43.1
22	4.618073	9.890000	0.681714	0.127510	47.2
23	4.607665	9.880000	0.681935	0.217783	43.2
24	4.577571	9.870000	0.682155	0.350348	42.8
25	4.543588	9.860000	0.682376	0.325406	42.4
26	4.534990	10.860000	0.660958	0.394044	46.2
27	4.542672	11.860000	0.640844	0.467209	43.4
28	4.546640	12.860000	0.621918	0.447592	42.3
29	4.530408	13.860000	0.604077	0.415171	42.5
30	4.530076	14.860000	0.587232	0.462904	42.5
31	4.539060	15.860000	0.571301	0.471111	41.3
32	4.529697	16.860000	0.556211	0.429408	41.9
33	4.528109	17.860000	0.541898	0.379443	42.1
34	4.519376	18.860000	0.528302	0.322019	41.7
35	4.514690	19.860000	0.515373	0.262126	42.9
36	4.508584	20.860000	0.503061	0.214026	42.3
37	4.507858	21.860000	0.491324	0.176082	45.7
38	4.504289	22.860000	0.480122	0.157485	44.1
39	4.505340	23.860000	0.469419	0.135597	44.6
40	4.502212	24.860000	0.459183	0.109609	40.3
41	4.502994	25.860000	0.449384	0.091881	41.1
42	4.500702	26.860000	0.439995	0.077122	42.6
43	4.502047	27.860000	0.430989	0.058260	41.3
44	4.500459	28.860000	0.422345	0.048637	42.3
45	4.501983	29.860000	0.414041	0.039651	42.3
46	4.500545	30.860000	0.406057	0.033167	40.8
47	4.501566	31.860000	0.398376	0.033161	41.1
48	4.500711	32.860000	0.390979	0.033414	43.7
49	4.501542	33.860000	0.383852	0.033661	43.2
50	4.500688	34.860000	0.376981	0.033510	43.4
51	4.501546	35.860000	0.370351	0.032970	43.6
52	4.500654	36.860000	0.363950	0.028050	43.1
53	4.501141	37.860000	0.357767	0.024991	42.0
54	4.500982	38.860000	0.351790	0.021359	46.0
55	4.501052	39.860000	0.346009	0.017877	43.4
56	4.501153	40.860000	0.340416	0.015573	43.2
57	4.501036	41.860000	0.335001	0.013542	75.8
58	4.501209	42.860000	0.329755	0.011145	42.2
59	4.501118	43.860000	0.324671	0.009071	41.4
