1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	28.073756	0.000000	0.135423	5.691668	13.4
1	23.969170	0.000000	0.135423	4.958685	0.8
2	20.853834	0.000000	0.135423	4.319699	0.8
3	18.902992	0.000000	0.135423	3.848713	0.7
4	17.029376	0.000000	0.135423	3.340790	0.7
5	15.617720	0.000000	0.135423	2.899634	0.7
6	14.554312	0.000000	0.135423	2.516527	0.8
7	13.753367	0.000000	0.135423	2.183889	0.7
8	13.096966	0.000000	0.135423	4.980258	0.7
9	9.955789	0.000000	0.135423	4.334537	0.7
10	7.576467	0.000000	0.135423	3.772145	0.7
11	5.774594	0.000000	0.135423	3.282393	0.7
12	4.504338	0.000000	0.135423	2.922924	0.7
13	3.424285	0.000000	0.135423	2.534165	0.7
14	2.612456	0.000000	0.135423	2.196954	0.8
15	2.002322	0.000000	0.135423	1.904507	0.7
16	1.543821	0.000000	0.135423	1.650924	0.7
17	1.199294	0.000000	0.135423	1.431076	0.7
18	0.940417	0.000000	0.135423	1.240505	0.7
19	0.821496	0.000000	0.135423	0.436304	0.7
20	0.795951	0.000000	0.135423	0.428375	0.7
21	0.771325	0.000000	0.135423	0.420624	0.7
22	0.747581	0.000000	0.135423	0.413047	0.7
23	0.724684	0.000000	0.135423	0.405637	0.7
24	0.702601	0.000000	0.135423	0.398391	0.7
25	0.681298	0.000000	0.135423	0.391304	0.9
26	0.660746	0.000000	0.135423	0.384369	1.5
27	0.640916	0.000000	0.135423	0.377585	1.3
28	0.621778	0.000000	0.135423	0.370945	1.4
29	0.603307	0.000000	0.135423	0.364447	1.3
30	0.585477	0.000000	0.135423	0.358085	1.2
31	0.568264	0.000000	0.135423	0.351858	6.1
32	0.551643	0.000000	0.135423	0.345759	1.0
33	0.535593	0.000000	0.135423	0.339788	0.6
34	0.520092	0.000000	0.135423	0.333939	0.8
35	0.505120	0.000000	0.135423	0.328209	1.3
36	0.490657	0.000000	0.135423	0.322596	1.3
37	0.476684	0.000000	0.135423	0.317097	1.3
38	0.463183	0.000000	0.135423	0.311708	1.4
39	0.450137	0.000000	0.135423	0.306426	1.1
40	0.437528	0.000000	0.135423	0.301250	1.2
41	0.425342	0.000000	0.135423	0.296176	1.5
42	0.413562	0.000000	0.135423	0.291201	1.3
43	0.402175	0.000000	0.135423	0.286324	1.3
44	0.391166	0.000000	0.135423	0.281541	1.2
45	0.380521	0.000000	0.135423	0.276851	0.8
46	0.370227	0.000000	0.135423	0.272251	1.0
47	0.360273	0.000000	0.135423	0.267739	1.3
48	0.350645	0.000000	0.135423	0.263312	1.3
49	0.341334	0.000000	0.135423	0.258970	1.3
50	0.332326	0.000000	0.135423	0.254709	1.5
51	0.323612	0.000000	0.135423	0.250529	1.7
52	0.315182	0.000000	0.135423	0.246426	1.8
53	0.307026	0.000000	0.135423	0.242399	1.0
54	0.299134	0.000000	0.135423	0.238446	1.0
55	0.291497	0.000000	0.135423	0.234567	0.9
56	0.284106	0.000000	0.135423	0.230758	1.0
57	0.276953	0.000000	0.135423	0.227019	1.1
58	0.270030	0.000000	0.135423	0.223347	1.6
59	0.263329	0.000000	0.135423	0.219741	1.4
60	0.256843	0.000000	0.135423	0.216201	1.0
61	0.250564	0.000000	0.135423	0.212724	0.9
62	0.244485	0.000000	0.135423	0.209308	1.0
63	0.238600	0.000000	0.135423	0.205953	1.2
64	0.232901	0.000000	0.135423	0.202658	1.2
65	0.227384	0.000000	0.135423	0.199420	1.3
66	0.224442	0.000000	0.135423	0.201641	1.4
67	0.218980	0.000000	0.135423	0.198379	1.0
68	0.213694	0.000000	0.135423	0.195175	1.2
69	0.208577	0.000000	0.135423	0.192028	0.9
70	0.203623	0.000000	0.135423	0.188936	0.9
71	0.198828	0.000000	0.135423	0.185898	0.9
72	0.194186	0.000000	0.135423	0.182913	1.4
73	0.189691	0.000000	0.135423	0.179979	1.2
74	0.185340	0.000000	0.135423	0.177097	0.9
75	0.181126	0.000000	0.135423	0.174264	0.7
76	0.177047	0.000000	0.135423	0.171480	0.8
77	0.173096	0.000000	0.135423	0.168743	0.8
78	0.169271	0.000000	0.135423	0.166053	0.6
