1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.009192	0.000000	0.189085	0.376680	495.6
1	0.005970	0.000000	0.189085	0.372863	38.4
2	0.008400	1.000000	0.180491	0.410250	40.3
3	0.007529	2.000000	0.172643	0.442728	39.2
4	0.009376	3.000000	0.165450	0.428272	42.9
5	0.005295	4.000000	0.158832	0.364410	42.0
6	0.004592	5.000000	0.152723	0.303803	39.9
7	0.001918	6.000000	0.147066	0.217343	38.5
8	0.001204	7.000000	0.141814	0.157656	38.1
9	0.000381	8.000000	0.136924	0.094826	38.7
10	0.000161	9.000000	0.132360	0.057843	45.8
11	0.000038	10.000000	0.128090	0.028353	54.7
12	0.000009	11.000000	0.124087	0.013193	53.0
13	0.000002	12.000000	0.120327	0.006881	48.1
14	0.000000	13.000000	0.116788	0.003634	39.3
15	0.000000	14.000000	0.113451	0.001828	39.5
16	0.000000	15.000000	0.110300	0.000718	41.0
17	0.000000	16.000000	0.107319	0.000287	39.9
18	0.000000	17.000000	0.104495	0.000118	39.3
19	0.000000	18.000000	0.101815	0.000026	40.2
20	0.000000	19.000000	0.099270	0.000008	39.3
21	0.000000	18.990000	0.099295	0.000003	38.1
22	0.000000	18.980000	0.099319	0.000002	39.6
23	0.000000	18.970000	0.099344	0.000001	40.6
24	0.000000	18.960000	0.099369	0.000001	41.4
25	0.000000	18.950000	0.099394	0.000000	39.6
26	0.000000	18.940000	0.099419	0.000000	39.0
27	0.000000	18.930001	0.099444	0.000000	38.7
28	0.000000	18.920204	0.099468	0.000000	39.7
29	0.000000	18.912314	0.099488	0.000000	40.2
30	0.000000	18.907686	0.099499	0.000000	39.9
31	0.000000	18.905487	0.099505	0.000000	43.1
32	0.000000	18.904542	0.099507	0.000000	39.2
33	0.000000	18.904153	0.099508	0.000000	38.3
34	0.000000	18.903995	0.099509	0.000000	39.8
35	0.000000	18.903932	0.099509	0.000000	39.7
36	0.000000	18.903906	0.099509	0.000000	38.6
37	0.000000	18.903896	0.099509	0.000000	36.9
38	0.000000	18.903892	0.099509	0.000000	40.8
39	0.000000	18.903891	0.099509	0.000000	40.6
40	0.000000	18.903890	0.099509	0.000000	39.8
41	0.000000	18.903890	0.099509	0.000000	42.2
42	0.000000	18.903890	0.099509	0.000000	100.6
43	0.000000	18.903890	0.099509	0.000000	60.1
44	0.000000	18.903889	0.099509	0.000000	50.4
45	0.000000	18.903889	0.099509	0.000000	51.1
46	0.000000	18.903889	0.099509	0.000000	41.2
47	0.000000	18.903889	0.099509	0.000000	39.3
48	0.000000	18.903889	0.099509	0.000000	43.4
49	0.000000	18.903889	0.099509	0.000000	40.1
50	0.000000	18.903889	0.099509	0.000000	39.9
51	0.000000	18.903889	0.099509	0.000000	41.5
52	0.000000	18.903889	0.099509	0.000000	39.9
53	0.000000	18.903889	0.099509	0.000000	39.2
54	0.000000	18.903889	0.099509	0.000000	41.0
55	0.000000	18.903889	0.099509	0.000000	40.3
56	0.000000	18.903889	0.099509	0.000000	39.3
57	0.000000	18.903889	0.099509	0.000000	40.0
58	0.000000	18.903889	0.099509	0.000000	40.4
59	0.000000	18.903889	0.099509	0.000000	40.5
60	0.000000	18.903889	0.099509	0.000000	40.8
61	0.000000	18.903889	0.099509	0.000000	40.1
62	0.000000	18.903889	0.099509	0.000000	40.4
63	0.000000	18.903889	0.099509	0.000000	40.9
64	0.000000	18.903889	0.099509	0.000000	40.9
65	0.000000	18.903889	0.099509	0.000000	42.1
66	0.000000	18.903889	0.099509	0.000000	40.0
67	0.000000	18.903889	0.099509	0.000000	41.6
68	0.000000	18.903889	0.099509	0.000000	43.3
69	0.000000	18.903889	0.099509	0.000000	43.2
70	0.000000	18.903889	0.099509	0.000000	41.0
71	0.000000	18.903889	0.099509	0.000000	42.3
72	0.000000	18.903889	0.099509	0.000000	41.3
73	0.000000	18.903889	0.099509	0.000000	48.0
74	0.000000	18.903889	0.099509	0.000000	43.9
75	0.000000	18.903889	0.099509	0.000000	125.2
76	0.000000	18.903889	0.099509	0.000000	45.1
77	0.000000	18.903889	0.099509	0.000000	38.6
78	0.000000	18.903889	0.099509	0.000000	41.0
79	0.000000	18.903889	0.099509	0.000000	40.4
80	0.000000	18.903889	0.099509	0.000000	40.5
81	0.000000	18.903889	0.099509	0.000000	41.8
82	0.000000	18.903889	0.099509	0.000000	41.8
83	0.000000	18.903889	0.099509	0.000000	42.1
84	0.000000	18.903889	0.099509	0.000000	41.0
85	0.000000	18.903889	0.099509	0.000000	41.1
86	0.000000	18.903889	0.099509	0.000000	43.4
87	0.000000	18.903889	0.099509	0.000000	42.0
88	0.000000	18.903889	0.099509	0.000000	42.6
89	0.000000	18.903889	0.099509	0.000000	43.9
90	0.000000	18.903889	0.099509	0.000000	43.4
91	0.000000	18.903889	0.099509	0.000000	45.9
92	0.000000	18.903889	0.099509	0.000000	44.1
93	0.000000	18.903889	0.099509	0.000000	44.3
94	0.000000	18.903889	0.099509	0.000000	42.8
95	0.000000	18.903889	0.099509	0.000000	42.0
96	0.000000	18.903889	0.099509	0.000000	45.0
97	0.000000	18.903889	0.099509	0.000000	44.2
98	0.000000	18.903889	0.099509	0.000000	46.0
99	0.000000	18.903889	0.099509	0.000000	47.3
100	0.000000	18.903889	0.099509	0.000000	45.0
101	0.000000	18.903889	0.099509	0.000000	48.9
102	0.000000	18.903889	0.099509	0.000000	49.1
103	0.000000	18.903889	0.099509	0.000000	48.8
104	0.000000	18.903889	0.099509	0.000000	43.0
105	0.000000	18.903889	0.099509	0.000000	48.5
106	0.000000	18.903889	0.099509	0.000000	42.2
107	0.000000	18.903889	0.099509	0.000000	42.3
108	0.000000	18.903889	0.099509	0.000000	42.0
109	0.000000	18.903889	0.099509	0.000000	41.8
110	0.000000	18.903889	0.099509	0.000000	46.3
111	0.000000	18.903889	0.099509	0.000000	48.2
112	0.000000	18.903889	0.099509	0.000000	47.0
113	0.000000	18.903889	0.099509	0.000000	40.9
114	0.000000	18.903889	0.099509	0.000000	43.1
115	0.000000	18.903889	0.099509	0.000000	41.4
116	0.000000	18.903889	0.099509	0.000000	42.0
117	0.000000	18.903889	0.099509	0.000000	41.0
118	0.000000	18.903889	0.099509	0.000000	41.0
119	0.000000	18.903889	0.099509	0.000000	40.0
120	0.000000	18.903889	0.099509	0.000000	41.0
121	0.000000	18.903889	0.099509	0.000000	40.7
122	0.000000	18.903889	0.099509	0.000000	40.4
123	0.000000	18.903889	0.099509	0.000000	42.0
124	0.000000	18.903889	0.099509	0.000000	40.9
125	0.000000	18.903889	0.099509	0.000000	41.8
126	0.000000	18.903889	0.099509	0.000000	41.1
127	0.000000	18.903889	0.099509	0.000000	42.2
128	0.000000	18.903889	0.099509	0.000000	40.9
129	0.000000	18.903889	0.099509	0.000000	40.9
130	0.000000	18.903889	0.099509	0.000000	41.1
131	0.000000	18.903889	0.099509	0.000000	40.0
132	0.000000	18.903889	0.099509	0.000000	42.1
133	0.000000	18.903889	0.099509	0.000000	40.2
134	0.000000	18.903889	0.099509	0.000000	40.9
135	0.000000	18.903889	0.099509	0.000000	41.0
136	0.000000	18.903889	0.099509	0.000000	41.8
137	0.000000	18.903889	0.099509	0.000000	40.4
138	0.000000	18.903889	0.099509	0.000000	40.9
139	0.000000	18.903889	0.099509	0.000000	41.2
140	0.000000	18.903889	0.099509	0.000000	40.5
141	0.000000	18.903889	0.099509	0.000000	41.7
142	0.000000	18.903889	0.099509	0.000000	41.4
143	0.000000	18.903889	0.099509	0.000000	41.6
144	0.000000	18.903889	0.099509	0.000000	42.2
145	0.000000	18.903889	0.099509	0.000000	42.4
146	0.000000	18.903889	0.099509	0.000000	40.5
147	0.000000	18.903889	0.099509	0.000000	41.1
148	0.000000	18.903889	0.099509	0.000000	40.5
149	0.000000	18.903889	0.099509	0.000000	40.7
150	0.000000	18.903889	0.099509	0.000000	41.5
151	0.000000	18.903889	0.099509	0.000000	40.1
152	0.000000	18.903889	0.099509	0.000000	42.4
153	0.000000	18.903889	0.099509	0.000000	45.2
154	0.000000	18.903889	0.099509	0.000000	45.2
155	0.000000	18.903889	0.099509	0.000000	41.0
156	0.000000	18.903889	0.099509	0.000000	41.1
157	0.000000	18.903889	0.099509	0.000000	41.2
158	0.000000	18.903889	0.099509	0.000000	40.1
159	0.000000	18.903889	0.099509	0.000000	41.4
160	0.000000	18.903889	0.099509	0.000000	44.2
161	0.000000	18.903889	0.099509	0.000000	40.1
162	0.000000	18.903889	0.099509	0.000000	87.2
163	0.000000	18.903889	0.099509	0.000000	40.6
164	0.000000	18.903889	0.099509	0.000000	42.1
165	0.000000	18.903889	0.099509	0.000000	40.8
166	0.000000	18.903889	0.099509	0.000000	42.4
167	0.000000	18.903889	0.099509	0.000000	41.0
168	0.000000	18.903889	0.099509	0.000000	41.2
169	0.000000	18.903889	0.099509	0.000000	41.8
170	0.000000	18.903889	0.099509	0.000000	41.0
171	0.000000	18.903889	0.099509	0.000000	40.9
172	0.000000	18.903889	0.099509	0.000000	41.5
173	0.000000	18.903889	0.099509	0.000000	41.0
174	0.000000	18.903889	0.099509	0.000000	42.2
175	0.000000	18.903889	0.099509	0.000000	41.8
176	0.000000	18.903889	0.099509	0.000000	41.2
177	0.000000	18.903889	0.099509	0.000000	41.0
178	0.000000	18.903889	0.099509	0.000000	39.8
179	0.000000	18.903889	0.099509	0.000000	43.2
180	0.000000	18.903889	0.099509	0.000000	48.5
181	0.000000	18.903889	0.099509	0.000000	42.5
182	0.000000	18.903889	0.099509	0.000000	41.0
183	0.000000	18.903889	0.099509	0.000000	47.1
184	0.000000	18.903889	0.099509	0.000000	44.0
185	0.000000	18.903889	0.099509	0.000000	42.3
186	0.000000	18.903889	0.099509	0.000000	41.8
187	0.000000	18.903889	0.099509	0.000000	40.7
188	0.000000	18.903889	0.099509	0.000000	42.0
189	0.000000	18.903889	0.099509	0.000000	40.5
190	0.000000	18.903889	0.099509	0.000000	42.6
191	0.000000	18.903889	0.099509	0.000000	40.1
192	0.000000	18.903889	0.099509	0.000000	42.3
193	0.000000	18.903889	0.099509	0.000000	41.6
194	0.000000	18.903889	0.099509	0.000000	41.6
195	0.000000	18.903889	0.099509	0.000000	42.4
196	0.000000	18.903889	0.099509	0.000000	42.3
197	0.000000	18.903889	0.099509	0.000000	41.4
198	0.000000	18.903889	0.099509	0.000000	44.6
199	0.000000	18.903889	0.099509	0.000000	46.0
200	0.000000	18.903889	0.099509	0.000000	44.0
201	0.000000	18.903889	0.099509	0.000000	42.5
202	0.000000	18.903889	0.099509	0.000000	42.8
203	0.000000	18.903889	0.099509	0.000000	42.8
204	0.000000	18.903889	0.099509	0.000000	42.1
205	0.000000	18.903889	0.099509	0.000000	43.7
206	0.000000	18.903889	0.099509	0.000000	44.0
207	0.000000	18.903889	0.099509	0.000000	43.2
208	0.000000	18.903889	0.099509	0.000000	44.0
209	0.000000	18.903889	0.099509	0.000000	43.8
210	0.000000	18.903889	0.099509	0.000000	43.8
211	0.000000	18.903889	0.099509	0.000000	42.5
212	0.000000	18.903889	0.099509	0.000000	42.7
213	0.000000	18.903889	0.099509	0.000000	42.5
214	0.000000	18.903889	0.099509	0.000000	45.0
215	0.000000	18.903889	0.099509	0.000000	48.0
216	0.000000	18.903889	0.099509	0.000000	41.3
217	0.000000	18.903889	0.099509	0.000000	41.9
218	0.000000	18.903889	0.099509	0.000000	44.4
219	0.000000	18.903889	0.099509	0.000000	41.6
220	0.000000	18.903889	0.099509	0.000000	41.0
221	0.000000	18.903889	0.099509	0.000000	40.8
222	0.000000	18.903889	0.099509	0.000000	41.0
223	0.000000	18.903889	0.099509	0.000000	41.5
224	0.000000	18.903889	0.099509	0.000000	41.4
225	0.000000	18.903889	0.099509	0.000000	41.7
226	0.000000	18.903889	0.099509	0.000000	41.2
227	0.000000	18.903889	0.099509	0.000000	77.1
228	0.000000	18.903889	0.099509	0.000000	41.4
229	0.000000	18.903889	0.099509	0.000000	41.9
230	0.000000	18.903889	0.099509	0.000000	40.8
231	0.000000	18.903889	0.099509	0.000000	42.4
232	0.000000	18.903889	0.099509	0.000000	43.2
233	0.000000	18.903889	0.099509	0.000000	41.0
234	0.000000	18.903889	0.099509	0.000000	42.6
235	0.000000	18.903889	0.099509	0.000000	44.3
236	0.000000	18.903889	0.099509	0.000000	41.1
237	0.000000	18.903889	0.099509	0.000000	42.5
238	0.000000	18.903889	0.099509	0.000000	42.0
239	0.000000	18.903889	0.099509	0.000000	42.6
240	0.000000	18.903889	0.099509	0.000000	42.6
241	0.000000	18.903889	0.099509	0.000000	40.5
242	0.000000	18.903889	0.099509	0.000000	42.3
243	0.000000	18.903889	0.099509	0.000000	44.5
244	0.000000	18.903889	0.099509	0.000000	43.2
245	0.000000	18.903889	0.099509	0.000000	43.6
246	0.000000	18.903889	0.099509	0.000000	42.8
247	0.000000	18.903889	0.099509	0.000000	42.7
248	0.000000	18.903889	0.099509	0.000000	42.1
249	0.000000	18.903889	0.099509	0.000000	42.4
250	0.000000	18.903889	0.099509	0.000000	42.1
251	0.000000	18.903889	0.099509	0.000000	40.9
252	0.000000	18.903889	0.099509	0.000000	41.8
253	0.000000	18.903889	0.099509	0.000000	42.8
254	0.000000	18.903889	0.099509	0.000000	42.9
255	0.000000	18.903889	0.099509	0.000000	41.5
